                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2832,                0.70901,                 1.0875,                0.92508,                0.67143,                0.78748,                0.47368,                 1.1605,                0.61292,                 1.0231,              0.0033279,              0.0033279,              0.0033279
                      2,                 1.2958,                0.73802,                 1.0994,                0.88793,                0.70613,                0.78249,                0.46472,                  1.191,                 0.6148,                 1.1106,              0.0066448,              0.0066448,              0.0066448
                      3,                 1.3638,                0.79683,                 1.1361,                0.79885,                0.69697,                0.77364,                0.44472,                 1.2376,                 0.6891,                 1.0619,              0.0099451,              0.0099451,              0.0099451
                      4,                 1.4272,                0.87849,                 1.1661,                0.82634,                0.65418,                0.72668,                0.42293,                  1.273,                 0.7421,                 1.1572,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.4412,                0.89334,                 1.1778,                0.91171,                0.65509,                 0.7518,                0.44284,                 1.2087,                0.71936,                 1.0535,               0.009901,               0.009901,               0.009901
                      6,                  1.438,                0.88411,                 1.1687,                0.89331,                0.63542,                0.73654,                0.41735,                 1.2648,                0.73638,                 1.0677,              0.0098763,              0.0098763,              0.0098763
                      7,                 1.4247,                0.88928,                 1.1819,                 0.8464,                0.66827,                 0.7478,                0.42845,                 1.2336,                0.70282,                 1.0618,              0.0098515,              0.0098515,              0.0098515
                      8,                 1.4426,                 0.8885,                 1.1756,                0.86574,                0.64592,                0.74308,                0.44655,                 1.1789,                0.71386,                 1.0169,              0.0098268,              0.0098268,              0.0098268
                      9,                 1.4238,                 0.8863,                  1.171,                0.88314,                 0.6289,                0.71758,                0.42047,                 1.2947,                0.76558,                 1.0937,               0.009802,               0.009802,               0.009802
                     10,                 1.4358,                0.88265,                 1.1623,                0.88535,                  0.656,                0.76349,                0.44797,                 1.2168,                   0.68,                 1.0562,              0.0097773,              0.0097773,              0.0097773
                     11,                 1.4454,                0.88485,                 1.1777,                0.87562,                0.63078,                 0.7372,                0.42192,                 1.2289,                0.71031,                 1.0677,              0.0097525,              0.0097525,              0.0097525
                     12,                 1.4365,                0.87603,                 1.1697,                0.80974,                0.61135,                0.71298,                0.42457,                 1.2217,                0.74195,                 1.0224,              0.0097278,              0.0097278,              0.0097278
                     13,                 1.4377,                0.88611,                 1.1714,                0.84756,                0.69006,                 0.7501,                 0.4415,                 1.1736,                0.72093,                 1.0288,               0.009703,               0.009703,               0.009703
                     14,                 1.4251,                0.87249,                 1.1681,                0.87105,                0.67905,                0.74633,                0.43039,                 1.2279,                0.71877,                 1.0667,              0.0096783,              0.0096783,              0.0096783
                     15,                 1.4117,                0.86742,                 1.1715,                0.82335,                0.68657,                0.76765,                0.45092,                 1.1923,                0.72515,                  1.042,              0.0096535,              0.0096535,              0.0096535
                     16,                 1.4146,                 0.8514,                 1.1594,                0.87242,                0.70037,                0.79053,                 0.4753,                 1.1565,                0.65968,                  1.054,              0.0096288,              0.0096288,              0.0096288
                     17,                 1.4209,                 0.8612,                 1.1632,                0.90051,                0.70433,                0.80228,                0.47909,                 1.1095,                0.67987,                0.99954,               0.009604,               0.009604,               0.009604
                     18,                 1.4113,                0.86338,                 1.1583,                0.85422,                0.67291,                0.76044,                0.46227,                 1.2214,                0.69215,                 1.0781,              0.0095793,              0.0095793,              0.0095793
                     19,                 1.4158,                0.86474,                 1.1589,                0.86063,                0.66605,                0.75552,                0.42202,                 1.2341,                0.72843,                 1.0406,              0.0095545,              0.0095545,              0.0095545
                     20,                 1.4135,                0.87908,                 1.1599,                0.82899,                0.68332,                0.77224,                 0.4505,                 1.1731,                0.66676,                 1.0338,              0.0095298,              0.0095298,              0.0095298
                     21,                 1.4024,                0.83696,                 1.1448,                0.91628,                0.64862,                0.76736,                0.41693,                 1.3233,                0.74209,                 1.0826,               0.009505,               0.009505,               0.009505
