key,Key.f2,pressed,1711096812.6846242
key,Key.f2,released,1711096812.8029475
mouse,1573,739,1711096816.8811657
mouse,1573,739,1711096816.8868105
mouse,1573,739,1711096816.8890443
mouse,1574,739,1711096816.8956478
mouse,1575,739,1711096816.8996036
mouse,1575,739,1711096816.9020069
mouse,1576,739,1711096816.9040043
mouse,1576,739,1711096816.9066608
mouse,1577,739,1711096816.9066608
mouse,1577,739,1711096816.9091525
mouse,1578,739,1711096816.9101532
mouse,1579,739,1711096816.9114704
mouse,1579,739,1711096816.9127772
mouse,1581,738,1711096816.9137855
mouse,1582,738,1711096816.9158075
mouse,1583,738,1711096816.917083
mouse,1584,738,1711096816.9183266
mouse,1585,738,1711096816.919336
mouse,1588,738,1711096816.9215245
mouse,1608,738,1711096816.9324036
mouse,1614,738,1711096816.9336214
mouse,1621,738,1711096816.9346335
mouse,1624,738,1711096816.9356406
mouse,1627,738,1711096816.9369133
mouse,1630,738,1711096816.937913
mouse,1633,738,1711096816.938915
mouse,1640,738,1711096816.9399135
mouse,1644,738,1711096816.9422224
mouse,1650,738,1711096816.9432175
mouse,1657,738,1711096816.9446952
mouse,1660,738,1711096816.9457018
mouse,1664,738,1711096816.946877
mouse,1672,738,1711096816.9482934
mouse,1678,738,1711096816.949749
mouse,1689,738,1711096816.9507594
mouse,1696,738,1711096816.9517581
mouse,1700,738,1711096816.95313
mouse,1708,737,1711096816.9546478
mouse,1719,737,1711096816.9556549
mouse,1726,737,1711096816.9567654
mouse,1731,737,1711096816.9577641
mouse,1737,737,1711096816.9588575
mouse,1740,737,1711096816.9600437
mouse,1749,737,1711096816.9610536
mouse,1753,737,1711096816.962439
mouse,1768,736,1711096816.9638493
mouse,1771,736,1711096816.9648569
mouse,1779,736,1711096816.965865
mouse,1783,736,1711096816.9675038
mouse,1791,736,1711096816.9688535
mouse,1793,736,1711096816.9703107
mouse,1810,736,1711096816.971324
mouse,1814,736,1711096816.9723227
mouse,1821,736,1711096816.973821
mouse,1824,736,1711096816.9748335
mouse,1836,736,1711096816.9763527
mouse,1844,736,1711096816.9773643
mouse,1846,736,1711096816.9783633
mouse,1853,736,1711096816.9793634
mouse,1857,736,1711096816.9808009
mouse,1868,736,1711096816.9818163
mouse,1871,736,1711096816.9828155
mouse,1880,736,1711096816.984815
mouse,1885,736,1711096816.9858265
mouse,1890,736,1711096816.9869897
mouse,1901,736,1711096816.9880636
mouse,1904,736,1711096816.989357
mouse,1908,736,1711096816.991365
mouse,1919,736,1711096816.9927301
mouse,1922,736,1711096816.9937398
mouse,1927,736,1711096816.9947395
mouse,1932,736,1711096816.995781
mouse,1936,736,1711096816.996789
mouse,1943,736,1711096816.9977908
mouse,1950,736,1711096816.9990325
mouse,1953,736,1711096817.0000403
mouse,1956,736,1711096817.0010405
mouse,1961,736,1711096817.0030406
mouse,1968,736,1711096817.004043
mouse,1970,736,1711096817.0055568
mouse,1975,737,1711096817.0066667
mouse,1981,737,1711096817.008607
mouse,1988,737,1711096817.0116143
mouse,1994,737,1711096817.012992
mouse,1995,737,1711096817.0140007
mouse,2003,737,1711096817.015555
mouse,2005,737,1711096817.017081
mouse,2006,737,1711096817.01808
mouse,2008,737,1711096817.01908
mouse,2013,737,1711096817.0200796
mouse,2016,737,1711096817.0210795
mouse,2017,737,1711096817.022539
mouse,2018,737,1711096817.0235503
mouse,2022,737,1711096817.0255795
mouse,2024,737,1711096817.0265908
mouse,2026,737,1711096817.0275898
mouse,2028,737,1711096817.0302126
mouse,2030,737,1711096817.0312338
mouse,2031,736,1711096817.0322335
mouse,2032,736,1711096817.0346594
mouse,2033,736,1711096817.035666
mouse,2034,736,1711096817.037584
mouse,2035,735,1711096817.0400217
mouse,2036,735,1711096817.0410352
mouse,2036,735,1711096817.0425045
mouse,2037,735,1711096817.0445204
mouse,2037,735,1711096817.0538752
mouse,2037,735,1711096817.0700293
mouse,2037,735,1711096817.0740316
mouse,2036,735,1711096817.0766692
mouse,2036,735,1711096817.0796754
mouse,2035,735,1711096817.0829046
mouse,2035,735,1711096817.0855966
mouse,2034,735,1711096817.088602
mouse,2033,735,1711096817.0909746
mouse,2033,735,1711096817.0959315
