key,Key.f2,pressed,1708709688.7878969
mouse,2346,740,1708709688.81859
mouse,2345,740,1708709688.8335202
mouse,2345,740,1708709688.8449419
mouse,2345,739,1708709688.8471444
mouse,2344,739,1708709688.8545153
key,Key.f2,released,1708709688.8705668
mouse,2344,739,1708709689.6701458
mouse,2344,739,1708709689.7370572
mouse,2343,739,1708709689.7410555
mouse,2343,739,1708709689.754583
mouse,2343,739,1708709689.755582
mouse,2342,739,1708709689.765459
mouse,2342,740,1708709689.7748017
mouse,2341,740,1708709689.7768042
mouse,2341,740,1708709689.7982392
mouse,2341,740,1708709689.8027623
mouse,2340,740,1708709689.952856
mouse,2340,740,1708709689.957251
mouse,2339,741,1708709689.959262
mouse,2339,741,1708709689.9612615
mouse,2334,743,1708709689.9714751
mouse,2333,743,1708709689.9729497
mouse,2333,743,1708709689.9743452
mouse,2332,743,1708709689.9756188
mouse,2332,743,1708709689.9766252
mouse,2330,744,1708709689.9776242
mouse,2330,744,1708709689.9776242
mouse,2329,744,1708709689.9790394
mouse,2329,744,1708709689.9805062
mouse,2328,744,1708709689.981898
mouse,2327,744,1708709689.982906
mouse,2326,745,1708709689.982906
mouse,2325,745,1708709689.9853845
mouse,2324,746,1708709689.9867945
mouse,2324,746,1708709689.9878056
mouse,2321,746,1708709689.9898016
mouse,2320,746,1708709689.9911923
mouse,2318,747,1708709689.9911923
mouse,2318,747,1708709689.9927003
mouse,2317,748,1708709689.9937193
mouse,2316,748,1708709689.9947197
mouse,2315,748,1708709689.9967191
mouse,2313,748,1708709689.9977236
mouse,2312,749,1708709689.9987214
mouse,2311,749,1708709690.0011866
mouse,2309,749,1708709690.0026953
mouse,2307,749,1708709690.0037043
mouse,2305,750,1708709690.0051956
mouse,2304,751,1708709690.0072105
mouse,2301,751,1708709690.00821
mouse,2300,751,1708709690.009461
mouse,2297,752,1708709690.0106828
mouse,2296,752,1708709690.0126913
mouse,2295,753,1708709690.0140178
mouse,2292,753,1708709690.01503
mouse,2290,753,1708709690.0160394
mouse,2289,753,1708709690.017451
mouse,2287,754,1708709690.017451
mouse,2284,755,1708709690.020167
mouse,2282,756,1708709690.020167
mouse,2280,756,1708709690.0215516
mouse,2278,756,1708709690.022801
mouse,2278,756,1708709690.024971
mouse,2274,757,1708709690.02612
mouse,2273,757,1708709690.0281317
mouse,2269,758,1708709690.029133
mouse,2267,758,1708709690.0301313
mouse,2264,759,1708709690.0317967
mouse,2262,759,1708709690.0328214
mouse,2257,761,1708709690.0342429
mouse,2256,761,1708709690.0354652
mouse,2255,761,1708709690.0369093
mouse,2249,762,1708709690.038233
mouse,2249,762,1708709690.038233
mouse,2247,762,1708709690.0402389
mouse,2245,763,1708709690.0412407
mouse,2243,764,1708709690.0427525
mouse,2240,764,1708709690.0437596
mouse,2239,764,1708709690.0447605
mouse,2237,764,1708709690.0457656
mouse,2234,765,1708709690.0467663
mouse,2231,765,1708709690.0477676
mouse,2230,766,1708709690.0487664
mouse,2228,766,1708709690.0498774
mouse,2227,766,1708709690.0508869
mouse,2224,766,1708709690.0518866
mouse,2223,766,1708709690.0528865
mouse,2221,766,1708709690.0533922
mouse,2219,767,1708709690.054761
mouse,2217,767,1708709690.0557709
mouse,2214,768,1708709690.05777
mouse,2211,768,1708709690.0587692
mouse,2209,768,1708709690.06077
mouse,2205,769,1708709690.0617723
mouse,2203,769,1708709690.0632818
mouse,2201,769,1708709690.0642924
mouse,2197,769,1708709690.065297
mouse,2195,769,1708709690.066296
mouse,2193,769,1708709690.0672975
mouse,2189,770,1708709690.069302
mouse,2187,770,1708709690.0703006
mouse,2185,771,1708709690.0713696
mouse,2183,771,1708709690.0713696
mouse,2180,771,1708709690.0738542
mouse,2178,771,1708709690.075111
mouse,2175,772,1708709690.0763228
mouse,2171,772,1708709690.0776048
mouse,2169,772,1708709690.0786126
mouse,2166,772,1708709690.0799863
mouse,2164,772,1708709690.0799863
mouse,2162,772,1708709690.082082
mouse,2158,772,1708709690.0830817
mouse,2156,772,1708709690.0846343
mouse,2155,772,1708709690.0856397
mouse,2153,773,1708709690.0868175
mouse,2151,773,1708709690.0880203
mouse,2146,773,1708709690.089027
mouse,2144,773,1708709690.0900307
mouse,2142,773,1708709690.0910723
mouse,2141,773,1708709690.0928397
mouse,2137,773,1708709690.0938478
mouse,2136,773,1708709690.0948672
mouse,2134,773,1708709690.0958655
mouse,2132,773,1708709690.097949
mouse,2131,773,1708709690.0989563
mouse,2129,773,1708709690.0989563
mouse,2126,773,1708709690.1002355
mouse,2125,773,1708709690.1013517
mouse,2124,773,1708709690.103664
mouse,2120,773,1708709690.1049721
mouse,2118,773,1708709690.1049721
mouse,2117,773,1708709690.1063008
mouse,2116,773,1708709690.1085043
mouse,2115,773,1708709690.1085043
mouse,2114,773,1708709690.1111434
mouse,2113,773,1708709690.1111434
mouse,2111,773,1708709690.113688
mouse,2110,773,1708709690.113688
mouse,2109,773,1708709690.115779
mouse,2108,773,1708709690.1171649
mouse,2107,773,1708709690.1181726
mouse,2105,773,1708709690.1192882
mouse,2105,773,1708709690.1207755
mouse,2103,772,1708709690.121881
mouse,2103,772,1708709690.1228864
mouse,2102,772,1708709690.1238947
mouse,2101,772,1708709690.1253352
mouse,2100,772,1708709690.126347
mouse,2099,772,1708709690.1273437
mouse,2098,772,1708709690.129351
mouse,2097,772,1708709690.129351
mouse,2096,772,1708709690.1306539
mouse,2095,772,1708709690.1317782
mouse,2095,772,1708709690.1327844
mouse,2094,772,1708709690.1338298
mouse,2094,772,1708709690.1348865
mouse,2093,772,1708709690.1358917
mouse,2092,772,1708709690.1369755
mouse,2092,771,1708709690.1384087
mouse,2091,771,1708709690.1408408
mouse,2091,771,1708709690.141849
mouse,2090,771,1708709690.1442635
mouse,2090,771,1708709690.1462753
mouse,2089,771,1708709690.1514711
mouse,2088,771,1708709690.1785872
mouse,2088,771,1708709690.182071
mouse,2087,771,1708709690.1830747
mouse,2087,771,1708709690.1860385
mouse,2086,771,1708709690.188242
mouse,2086,771,1708709690.188242
mouse,2085,771,1708709690.1902108
mouse,2084,771,1708709690.1912289
mouse,2084,771,1708709690.192736
mouse,2083,771,1708709690.193813
mouse,2082,771,1708709690.1948214
mouse,2082,771,1708709690.1958225
mouse,2080,771,1708709690.1971583
mouse,2080,771,1708709690.1981647
mouse,2079,771,1708709690.1991673
mouse,2078,771,1708709690.2001684
mouse,2075,771,1708709690.203004
mouse,2075,771,1708709690.2043264
mouse,2072,771,1708709690.2053392
mouse,2069,771,1708709690.2063365
mouse,2068,771,1708709690.2077155
mouse,2067,771,1708709690.2091103
mouse,2065,771,1708709690.2101207
mouse,2064,771,1708709690.2111177
mouse,2063,771,1708709690.212626
mouse,2059,771,1708709690.2139704
mouse,2055,771,1708709690.214981
mouse,2053,771,1708709690.2159886
mouse,2052,771,1708709690.2173545
mouse,2050,771,1708709690.218633
mouse,2049,771,1708709690.2196362
mouse,2045,771,1708709690.2206383
mouse,2043,771,1708709690.2219574
mouse,2040,771,1708709690.223971
mouse,2038,771,1708709690.223971
mouse,2035,771,1708709690.2254307
mouse,2033,771,1708709690.2264977
mouse,2025,771,1708709690.2285001
mouse,2022,771,1708709690.2294977
mouse,2018,771,1708709690.2308574
mouse,2014,771,1708709690.2318678
mouse,2009,771,1708709690.2328682
mouse,2005,771,1708709690.234119
mouse,2002,771,1708709690.2356014
mouse,2001,771,1708709690.2356014
mouse,1998,771,1708709690.2369773
mouse,1989,770,1708709690.2384055
mouse,1985,770,1708709690.2394195
mouse,1983,770,1708709690.240426
mouse,1979,769,1708709690.241513
mouse,1976,769,1708709690.2430265
mouse,1970,768,1708709690.2430265
mouse,1962,768,1708709690.2454944
mouse,1958,767,1708709690.246674
mouse,1956,767,1708709690.2476811
mouse,1943,766,1708709690.2486823
mouse,1942,766,1708709690.2500634
mouse,1934,766,1708709690.2510767
mouse,1929,765,1708709690.2525952
mouse,1927,765,1708709690.2525952
mouse,1920,764,1708709690.2540731
mouse,1906,763,1708709690.2555408
mouse,1905,763,1708709690.2568088
mouse,1897,762,1708709690.257977
mouse,1890,762,1708709690.260317
mouse,1883,762,1708709690.260317
mouse,1882,761,1708709690.261318
mouse,1877,761,1708709690.2628233
mouse,1867,761,1708709690.264259
mouse,1862,760,1708709690.2652667
mouse,1861,760,1708709690.2662673
mouse,1853,759,1708709690.2672672
mouse,1849,759,1708709690.2682664
mouse,1847,759,1708709690.2682664
mouse,1839,759,1708709690.270571
mouse,1834,759,1708709690.2719166
mouse,1832,759,1708709690.272935
mouse,1820,758,1708709690.2739425
mouse,1819,758,1708709690.2749417
mouse,1810,757,1708709690.2759407
mouse,1805,756,1708709690.277942
mouse,1803,756,1708709690.278945
mouse,1796,756,1708709690.2799466
mouse,1790,755,1708709690.2809439
mouse,1786,755,1708709690.2829425
mouse,1783,755,1708709690.2834492
mouse,1778,754,1708709690.2854564
mouse,1774,754,1708709690.2864583
mouse,1769,754,1708709690.286969
mouse,1763,753,1708709690.2884703
mouse,1760,753,1708709690.2884703
mouse,1755,752,1708709690.2894812
mouse,1754,752,1708709690.2904773
mouse,1751,752,1708709690.2918966
mouse,1747,751,1708709690.2929413
mouse,1744,751,1708709690.2943864
mouse,1741,751,1708709690.2943864
mouse,1738,751,1708709690.2958457
mouse,1735,751,1708709690.2968512
mouse,1729,750,1708709690.2981672
mouse,1726,750,1708709690.2991772
mouse,1724,750,1708709690.3001757
mouse,1722,749,1708709690.3011734
mouse,1719,749,1708709690.3011734
mouse,1717,749,1708709690.302678
mouse,1714,748,1708709690.304131
mouse,1713,748,1708709690.3051383
mouse,1708,748,1708709690.3063605
mouse,1705,748,1708709690.3076358
mouse,1703,748,1708709690.3087978
mouse,1700,748,1708709690.310005
mouse,1698,747,1708709690.3110137
mouse,1695,747,1708709690.3128262
mouse,1694,746,1708709690.3128262
mouse,1692,746,1708709690.314306
mouse,1688,745,1708709690.3153126
mouse,1687,745,1708709690.316315
mouse,1686,745,1708709690.3174455
mouse,1683,745,1708709690.3199902
mouse,1682,745,1708709690.3199902
mouse,1680,745,1708709690.32122
mouse,1677,744,1708709690.32273
mouse,1676,744,1708709690.3237414
mouse,1675,744,1708709690.3247488
mouse,1673,743,1708709690.327212
mouse,1671,743,1708709690.3282208
mouse,1670,743,1708709690.3293958
mouse,1668,743,1708709690.3304062
mouse,1667,743,1708709690.3319724
mouse,1665,742,1708709690.332983
mouse,1664,742,1708709690.3339882
mouse,1663,742,1708709690.3349957
mouse,1661,742,1708709690.3349957
mouse,1660,741,1708709690.337281
mouse,1659,741,1708709690.3382823
mouse,1658,741,1708709690.3395946
mouse,1657,741,1708709690.3407803
mouse,1656,741,1708709690.3420856
mouse,1653,740,1708709690.3440948
mouse,1650,740,1708709690.3440948
mouse,1649,740,1708709690.3453453
mouse,1648,740,1708709690.347746
mouse,1647,740,1708709690.347746
mouse,1646,740,1708709690.3489077
mouse,1645,740,1708709690.3499944
mouse,1644,739,1708709690.3512995
mouse,1643,739,1708709690.3528056
mouse,1641,739,1708709690.3538153
mouse,1640,738,1708709690.3549638
mouse,1638,738,1708709690.356381
mouse,1638,738,1708709690.3573866
mouse,1636,738,1708709690.358682
mouse,1635,738,1708709690.3596904
mouse,1634,738,1708709690.3606908
mouse,1633,738,1708709690.36169
mouse,1633,738,1708709690.3631942
mouse,1631,738,1708709690.3641999
mouse,1631,738,1708709690.3653166
mouse,1630,738,1708709690.3663867
mouse,1629,737,1708709690.3673952
mouse,1628,737,1708709690.3687794
mouse,1627,737,1708709690.3697855
mouse,1627,737,1708709690.370854
mouse,1626,737,1708709690.3719504
mouse,1626,737,1708709690.3730469
mouse,1625,737,1708709690.373965
mouse,1624,737,1708709690.374966
mouse,1624,737,1708709690.3759725
mouse,1623,737,1708709690.3769743
mouse,1623,737,1708709690.37798
mouse,1622,737,1708709690.379285
mouse,1622,737,1708709690.380623
mouse,1620,737,1708709690.3816333
mouse,1620,737,1708709690.3838944
mouse,1619,737,1708709690.3848941
mouse,1619,737,1708709690.3867188
mouse,1618,737,1708709690.3881927
mouse,1618,737,1708709690.3906913
mouse,1617,737,1708709690.392812
mouse,1616,737,1708709690.395288
mouse,1616,737,1708709690.3967464
mouse,1615,737,1708709690.399756
mouse,1615,737,1708709690.401768
mouse,1615,737,1708709690.4027781
mouse,1614,737,1708709690.4084997
mouse,1614,736,1708709690.4107022
mouse,1614,736,1708709690.4137251
mouse,1614,735,1708709690.416726
mouse,1614,735,1708709690.423238
mouse,1613,735,1708709690.4252458
mouse,1613,734,1708709690.4262452
mouse,1613,734,1708709690.431564
mouse,1613,733,1708709690.4360785
mouse,1612,733,1708709690.439076
mouse,1612,732,1708709690.4425867
mouse,1612,731,1708709690.4458492
mouse,1612,731,1708709690.4474857
mouse,1612,731,1708709690.448501
mouse,1612,730,1708709690.453076
mouse,1612,730,1708709690.4571078
mouse,1611,730,1708709690.4602668
mouse,1611,729,1708709690.4617326
mouse,1611,729,1708709690.4647474
mouse,1611,729,1708709690.4657445
mouse,1611,728,1708709690.4702134
mouse,1610,728,1708709690.4712448
mouse,1610,728,1708709690.4741356
mouse,1610,727,1708709690.4751709
mouse,1609,727,1708709690.4777775
mouse,1609,727,1708709690.47979
mouse,1609,727,1708709690.4811351
mouse,1608,727,1708709690.4811351
mouse,1607,727,1708709690.4837794
mouse,1607,726,1708709690.4862268
mouse,1606,726,1708709690.4872406
mouse,1606,726,1708709690.4885237
mouse,1606,726,1708709690.4898877
mouse,1605,726,1708709690.490896
mouse,1605,726,1708709690.4934094
mouse,1604,726,1708709690.4944153
mouse,1603,726,1708709690.4964159
mouse,1603,725,1708709690.4974172
mouse,1603,725,1708709690.4985394
mouse,1602,725,1708709690.5000448
mouse,1602,725,1708709690.501094
mouse,1601,725,1708709690.502707
mouse,1601,725,1708709690.5047116
mouse,1600,725,1708709690.5057147
mouse,1599,725,1708709690.5081453
mouse,1599,724,1708709690.509171
mouse,1598,724,1708709690.5101755
mouse,1598,724,1708709690.5113575
mouse,1597,724,1708709690.5127196
mouse,1597,724,1708709690.5137472
mouse,1596,724,1708709690.5162702
mouse,1595,723,1708709690.51754
mouse,1595,723,1708709690.5188885
mouse,1594,723,1708709690.5200753
mouse,1593,723,1708709690.521083
mouse,1593,723,1708709690.521083
mouse,1593,723,1708709690.5228012
mouse,1592,723,1708709690.5238945
mouse,1591,723,1708709690.5249007
mouse,1591,723,1708709690.5263984
mouse,1590,723,1708709690.5276613
mouse,1590,722,1708709690.5276613
mouse,1589,722,1708709690.52911
mouse,1588,722,1708709690.5304337
mouse,1587,722,1708709690.5315197
mouse,1587,722,1708709690.5327208
mouse,1586,722,1708709690.5337322
mouse,1586,722,1708709690.5359104
mouse,1585,722,1708709690.5371745
mouse,1584,721,1708709690.5371745
mouse,1583,721,1708709690.5384374
mouse,1582,721,1708709690.5398366
mouse,1581,721,1708709690.5419436
mouse,1580,721,1708709690.5444293
mouse,1579,721,1708709690.5455458
mouse,1579,721,1708709690.546554
mouse,1578,721,1708709690.5475538
mouse,1577,720,1708709690.5485523
mouse,1576,720,1708709690.5495694
mouse,1576,720,1708709690.5507264
mouse,1575,719,1708709690.5521839
mouse,1574,719,1708709690.552687
mouse,1573,719,1708709690.5541725
mouse,1573,719,1708709690.5555742
mouse,1572,719,1708709690.5555742
mouse,1571,719,1708709690.5568295
mouse,1570,718,1708709690.5588367
mouse,1569,718,1708709690.5602274
mouse,1568,718,1708709690.5602274
mouse,1568,718,1708709690.5612414
mouse,1567,718,1708709690.5627487
mouse,1566,718,1708709690.5637581
mouse,1565,717,1708709690.565021
mouse,1565,717,1708709690.5661523
mouse,1563,716,1708709690.5674293
mouse,1562,716,1708709690.5694396
mouse,1561,716,1708709690.5694396
mouse,1560,716,1708709690.5709445
mouse,1560,716,1708709690.5709445
mouse,1559,715,1708709690.5728998
mouse,1558,715,1708709690.574049
mouse,1557,715,1708709690.575486
mouse,1556,715,1708709690.5768092
mouse,1556,715,1708709690.5780747
mouse,1555,714,1708709690.5780747
mouse,1554,714,1708709690.5791192
mouse,1553,714,1708709690.5791192
mouse,1553,713,1708709690.5805807
mouse,1552,713,1708709690.5817556
mouse,1551,713,1708709690.5841594
mouse,1549,713,1708709690.5841594
mouse,1549,712,1708709690.5856426
mouse,1548,712,1708709690.586648
mouse,1547,712,1708709690.587648
mouse,1547,712,1708709690.5897613
mouse,1546,712,1708709690.5912735
mouse,1545,712,1708709690.5912735
mouse,1545,711,1708709690.5927553
mouse,1544,711,1708709690.594073
mouse,1543,711,1708709690.594073
mouse,1543,711,1708709690.5962932
mouse,1542,711,1708709690.5972953
mouse,1542,711,1708709690.5986114
mouse,1541,711,1708709690.6000948
mouse,1541,710,1708709690.6015713
mouse,1540,710,1708709690.603076
mouse,1539,710,1708709690.6044526
mouse,1539,709,1708709690.6058488
mouse,1539,709,1708709690.6058488
mouse,1538,709,1708709690.6089928
mouse,1538,709,1708709690.6104152
mouse,1538,709,1708709690.6158447
mouse,1538,709,1708709690.6589868
mouse,1538,708,1708709690.6724997
mouse,1538,708,1708709690.6971083
mouse,1538,708,1708709690.7072926
mouse,1539,708,1708709690.7115111
mouse,1539,708,1708709690.7140288
mouse,1540,708,1708709690.716097
mouse,1540,708,1708709690.7194073
mouse,1541,708,1708709690.7228532
mouse,1541,708,1708709690.7242684
mouse,1541,707,1708709690.7263458
mouse,1542,707,1708709690.7273479
mouse,1542,707,1708709690.7287383
mouse,1543,707,1708709690.7314415
mouse,1544,707,1708709690.732949
mouse,1544,707,1708709690.7349575
mouse,1545,707,1708709690.736356
mouse,1545,707,1708709690.738499
mouse,1546,707,1708709690.7405124
mouse,1546,707,1708709690.7430217
mouse,1547,706,1708709690.7444632
mouse,1548,706,1708709690.7485187
mouse,1548,706,1708709690.7495172
mouse,1549,706,1708709690.7515745
mouse,1549,706,1708709690.754087
mouse,1550,705,1708709690.7559419
mouse,1550,705,1708709690.7579424
mouse,1551,705,1708709690.7599382
mouse,1551,705,1708709690.7619407
mouse,1552,705,1708709690.764362
mouse,1553,705,1708709690.7653594
mouse,1553,705,1708709690.7673604
mouse,1554,705,1708709690.7703612
mouse,1554,705,1708709690.771365
mouse,1555,705,1708709690.7738857
